UIbg	0	986	264	264
background	0	355	800	480
buttonLarge	0	1250	196	70
buttonSmall	0	1320	136	80
groundDirt	0	0	808	71
groundGrass	0	142	808	71
groundIce	0	71	808	71
groundRock	0	284	808	71
groundSnow	0	213	808	71
letterA	412	835	61	64
letterB	487	1537	50	66
letterC	460	977	52	66
letterD	432	1613	54	66
letterE	511	1965	45	64
letterF	512	963	44	64
letterG	460	1107	52	66
letterH	473	835	51	64
letterI	524	835	22	64
letterJ	512	1027	42	66
letterK	432	1821	53	64
letterL	512	899	44	64
letterM	392	1967	66	64
letterN	432	1679	53	64
letterO	418	1284	60	66
letterP	489	1427	48	65
letterQ	418	1205	60	79
letterR	478	1249	51	65
letterS	511	1899	46	66
letterT	460	1043	52	64
letterU	485	1757	51	66
letterV	400	913	61	64
letterW	136	1320	76	64
letterX	418	1409	58	64
letterY	432	1473	57	64
letterZ	486	1613	50	64
medalBronze	0	1400	114	119
medalGold	0	1519	114	119
medalSilver	0	1638	114	119
number0	432	1743	53	78
number1	512	1093	37	76
number2	477	1350	51	77
number3	485	1679	51	78
number4	432	1537	55	76
number5	485	1823	50	76
number6	432	1885	53	77
number7	478	1173	51	76
number8	461	899	51	78
number9	458	1962	53	77
planeBlue1	330	1371	88	73
planeBlue2	372	1132	88	73
planeBlue3	222	1562	88	73
planeGreen1	114	1639	88	73
planeGreen2	216	1951	88	73
planeGreen3	222	1489	88	73
planeRed1	216	1878	88	73
planeRed2	372	1059	88	73
planeRed3	372	986	88	73
planeYellow1	304	1967	88	73
planeYellow2	330	1298	88	73
planeYellow3	330	1225	88	73
puffLarge	114	1712	42	35
puffSmall	196	1250	25	21
rock	114	1400	108	239
rockDown	324	1489	108	239
rockGrass	0	1757	108	239
rockGrassDown	264	986	108	239
rockIce	216	1639	108	239
rockIceDown	222	1250	108	239
rockSnow	324	1728	108	239
rockSnowDown	108	1757	108	239
starBronze	170	1996	39	37
starGold	369	1444	39	37
starSilver	330	1444	39	37
tap	156	1712	40	40
tapLeft	0	1996	85	42
tapRight	85	1996	85	42
tapTick	418	1350	59	59
textGameOver	0	835	412	78
textGetReady	0	913	400	73
